1,"[2486, 2324, 395, 3122, 572]",-52.99
1,"[2987, 1782, 1467, 2601, 3876]",304.01
1,"[3980, 2006, 3290, 2924, 3493]",51.31
1,"[1447, 4047, 3276, 2713, 1963]",211.66
1,"[813, 1448, 354, 3901, 3146]",10.83
1,"[3947, 640, 827, 835, 879]",138.15
1,"[1424, 1419, 3675, 4035, 549]",135.2
1,"[271, 1928, 387, 139, 1147]",73.17
1,"[1858, 2583, 903, 3409, 1357]",385.48
1,"[3348, 3029, 3795, 1765, 2877]",22.64
2,"[1858, 2583, 387, 139, 1147]",190.26
2,"[271, 1928, 903, 3409, 1357]",268.39
2,"[1424, 2583, 903, 3409, 1357]",406.75
2,"[1858, 1419, 3675, 4035, 549]",113.93
2,"[2987, 1782, 1467, 2601, 3876]",304.01
2,"[1858, 2583, 903, 3409, 1357]",385.48
2,"[1858, 2583, 387, 139, 1147]",190.26
2,"[271, 1928, 903, 3409, 1357]",268.39
2,"[1447, 4047, 903, 3409, 1357]",540.64
2,"[1858, 2583, 903, 3409, 1357]",385.48
3,"[1858, 2583, 903, 3409, 1357]",385.48
3,"[1858, 2583, 903, 3409, 1357]",385.48
3,"[271, 1928, 903, 139, 1147]",364.64
3,"[1858, 2583, 903, 3409, 1357]",385.48
3,"[1424, 2583, 903, 3409, 1357]",406.75
3,"[271, 1928, 903, 3409, 1357]",268.39
3,"[271, 1928, 903, 3409, 1357]",268.39
3,"[271, 2583, 387, 139, 1147]",104.01
3,"[1858, 1928, 903, 3409, 1357]",354.64
3,"[1447, 4047, 903, 3409, 1357]",540.64
4,"[1858, 1928, 903, 3409, 1357]",354.64
4,"[1424, 3409, 2583, 903, 1357]",406.75
4,"[1424, 4047, 903, 3409, 1357]",319.12
4,"[1447, 2583, 903, 3409, 1357]",628.27
4,"[1447, 4047, 903, 139, 1147]",636.89
4,"[1858, 2583, 903, 139, 1147]",481.73
4,"[271, 1928, 903, 3409, 1357]",268.39
4,"[1858, 2583, 903, 3409, 1357]",385.48
4,"[271, 2583, 387, 139, 1147]",104.01
4,"[1447, 4047, 903, 3409, 1357]",540.64
5,"[1424, 903, 2583, 139, 1147]",503.0
5,"[1424, 3409, 2583, 903, 1357]",406.75
5,"[1447, 2583, 903, 3409, 1357]",628.27
5,"[1447, 4047, 903, 139, 1147]",636.89
5,"[1858, 2583, 903, 139, 1147]",481.73
5,"[271, 1928, 903, 3409, 1357]",268.39
5,"[1424, 4047, 903, 3409, 1357]",319.12
5,"[1424, 3409, 903, 3409, 1357]",291.49
5,"[1858, 903, 2583, 2583, 1357]",500.74
5,"[1447, 4047, 903, 139, 1147]",636.89
6,"[1858, 903, 2583, 2583, 1357]",500.74
6,"[1424, 3409, 903, 3409, 1357]",291.49
6,"[1447, 4047, 903, 139, 1147]",636.89
6,"[1447, 4047, 903, 139, 1147]",636.89
6,"[1424, 3409, 2583, 903, 1357]",406.75
6,"[1424, 903, 2583, 139, 1147]",503.0
6,"[1424, 903, 2583, 2583, 1357]",522.01
6,"[1447, 2583, 903, 3409, 1357]",628.27
6,"[1424, 3409, 903, 3409, 1357]",291.49
6,"[1447, 4047, 903, 139, 1147]",636.89
7,"[1447, 903, 2583, 139, 1147]",724.52
7,"[1424, 4047, 903, 139, 1147]",415.37
7,"[1424, 903, 2583, 2583, 1357]",522.01
7,"[1447, 4047, 903, 139, 1147]",636.89
7,"[1447, 4047, 2583, 2583, 1357]",520.23
7,"[1424, 903, 903, 139, 1147]",638.67
7,"[1447, 4047, 903, 139, 1147]",636.89
7,"[1424, 903, 2583, 139, 1147]",503.0
7,"[1447, 4047, 903, 3409, 1357]",540.64
7,"[1447, 4047, 903, 139, 1147]",636.89
