1,"[3942, 3094, 2711]",293.05
1,"[241, 2614, 1204]",323.18
1,"[3059, 1757, 112]",106.64
1,"[2143, 3342, 1442]",141.98
1,"[2979, 2022, 1552]",53.76
1,"[1065, 2008, 3467]",296.99
1,"[358, 273, 3468]",229.62
1,"[1345, 1695, 2243]",32.35
1,"[2317, 2025, 2729]",87.1
1,"[527, 1460, 3125]",235.01
1,"[3666, 2470, 1972]",86.25
1,"[1165, 3950, 268]",73.11
1,"[1173, 2958, 3346]",215.22
1,"[4023, 2463, 111]",145.13
1,"[3567, 105, 1355]",146.62
1,"[3134, 364, 1252]",67.23
1,"[3664, 651, 1445]",99.94
1,"[218, 3433, 908]",377.86
1,"[3078, 3146, 2860]",114.64
1,"[2534, 3309, 2704]",152.63
1,"[3054, 3118, 3200]",196.92
1,"[182, 1260, 2902]",64.09
1,"[2952, 915, 595]",86.62
1,"[3341, 1174, 475]",184.01
1,"[2749, 3219, 563]",140.65
1,"[3227, 618, 1993]",241.27
1,"[3473, 1851, 3101]",222.39
1,"[3725, 1821, 3024]",127.56
1,"[2346, 1842, 1925]",130.14
1,"[2253, 2133, 3983]",67.35
1,"[3169, 2597, 1015]",55.96
1,"[310, 2782, 2655]",106.28
1,"[2698, 3379, 932]",90.94
1,"[1309, 743, 1503]",241.16
1,"[2306, 3677, 171]",93.73
1,"[1258, 1768, 611]",254.97
1,"[3747, 3543, 2042]",75.34
1,"[2643, 727, 3852]",163.51
1,"[2585, 3168, 3233]",64.85
1,"[2662, 3736, 2916]",68.08
1,"[3727, 1090, 3433]",108.0
1,"[699, 1757, 3832]",44.19
1,"[3291, 598, 1053]",381.11
1,"[1367, 1723, 843]",183.2
1,"[3034, 3793, 2208]",48.44
1,"[1444, 313, 3284]",287.73
1,"[11, 19, 2783]",625.71
1,"[1015, 1315, 970]",37.97
1,"[831, 561, 3727]",154.71
1,"[112, 2981, 2668]",100.55
1,"[849, 3506, 1323]",85.43
1,"[827, 942, 3348]",149.31
1,"[791, 3182, 174]",95.4
1,"[3778, 3534, 1254]",19.06
1,"[3290, 1490, 1867]",46.13
1,"[1387, 1352, 86]",369.09
1,"[2714, 1428, 1502]",132.35
1,"[3639, 159, 852]",268.0
1,"[1960, 2245, 3111]",106.75
1,"[3031, 3642, 445]",157.48
1,"[3566, 442, 1796]",206.17
1,"[659, 167, 1671]",395.36
1,"[43, 732, 1189]",131.9
1,"[3557, 2805, 3341]",61.77
1,"[3668, 2467, 2629]",74.83
1,"[2879, 1829, 87]",491.19
1,"[3125, 3179, 564]",209.06
1,"[1655, 2917, 2653]",38.49
